id,title,plot
6722,Bryan Kest's Power Yoga,"Feel the power. Be the power! Unlock the strengthening, slimming, detoxifying and re-energizing of Power Yoga. Bryan Kest leads you in a vigorous workout based on the robust Ashtanga style of Yoga."
6723,"Scooby Doo, Where Are You!","A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function."
6724,Babylon 5: In the Beginning,"Emperor Londo Mollari of the Centauri Republic tells the story of the Earth-Minbari War that almost destroyed humanity and later inspired its last best, hope for peace."
6725,Down with Love,"In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author."
6726,Samurai,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
6727,"Deer Season, ObamaCare and the New World Order",
6728,The Gleaners & I,"Varda films and interviews gleaners in France in all forms, from those picking fields after the harvest to those scouring the dumpsters of Paris."
6729,Death Rides a Horse,"A young gunfighter forms a tenuous alliance with an aging ex-outlaw to track down and eliminate the bandits who killed his family, till the surprising end."
6730,Bat Thumb,"The Bat Thumb must stop another villian from taking over his precious city, only this time he will have to stop No Face in the hardest battle to date."
6731,Antonio Gaudí,"The work of Catalan architect Antonio Gaudí, as seen by Japanese New Wave director Hiroshi Teshigahara."
6732,The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
6733,Ivan Vasilievich: Back to the Future,"An ordinary Soviet building manager, living in the 20th century, is extremely similar to Tsar of All Rus' - Ivan IV the Terrible (1530 - 1584). He would never have known about this, but one day his neighbor created a time machine."
6734,Barney: Now I Know My ABC's,"Barney's friends have F-U-N learning the ABCs, colors and more! Baby Bop discovers the excitement of writing her name, and the children get everything in shape for the most colorful art show ever! Whether drawing a cat made of triangles or a train made of squares, using their imagination helps kids learn about shapes and colors. How do you spell ""learning?"" B-A- R-N-E-Y::Anonymous"
6735,"Bob the Builder: Dig, Lift, Haul",Things are falling apart at various construction sites. Can the hardworking Bob fix all these problems? Of course he can -- with the help of his pals.
6736,Chopper,"Chopper tells the intense story of Mark ""Chopper"" Read, a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book, ""From the Inside"", upon which the film is based, was a best-seller."
6737,Jamie's Soup Kitchen,"Jamie has asked two of his students from his restaurant, Fifteen, to come to the flat and taste the soup dishes he is preparing: Italian pappa al pomodoro, Spanish fisherman soup and Thai chicken broth."
6738,Thesis,"While doing a thesis about violence, Ángela finds a snuff video where a girl is tortured until death. Soon she discovers that the girl was a former student in her faculty..."
6739,B*A*P*S,Two tacky homegirls move to L.A. to become dancers; instead they scam a dying millionaire but eventually become B*A*P*S (Black American Princesses).
6740,Pink Lady,A musical variety show starring a popular Japanese musical duo and their comedian sidekick/translator.
6741,Defense of the Realm,"After a newspaper reporter helps expose a Member of Parliament as a possible spy, he finds that there's much more to the story than that."
6742,Babylon 5: A Call to Arms,"The Drakh, allies of the Shadows, seek revenge against humanity after the Second Shadow War."
6743,Km. 0 - Kilometer Zero,"A comedic look at the love lives of 14 different people and how they interconnect during one hot August afternoon around the Plaza del Sol in Madrid, Spain."
6744,The Dukes of Hazzard/Saint Ralph/Broken Flowers,
6745,I Heart Huckabees,"A husband-and-wife team play detective, but not in the traditional sense. Instead, the happy duo helps others solve their existential issues, the kind that keep you up at night, wondering what it all means."
6746,Our Lips Are Sealed,"A family is relocated by FBI after the twin sisters stop a diamond thief with ketchup. They are blabbermouths so, as last chance, they end up in in Sydney, Australia. 2 mobsters are sent there for them and the hidden diamond."
6747,The Piano Teacher,A young man romantically pursues his masochistic piano teacher.
6748,Dark Passage,A man convicted of murdering his wife escapes from prison and works with a woman to try and prove his innocence.
6749,Witness to a Kill,The Queen's Messenger is called to convey vital dispatches to a highly secretive conference called to combat the activities of modern poachers who threaten the economies of many African states.
6750,Butch Cassidy and the Sundance Kid,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
6751,A Night to Remember,"On its maiden voyage in April 1912, the supposedly unsinkable RMS Titanic hits an iceberg in the Atlantic Ocean."
6752,The Best of Friends,"Two middle-aged women move to Hollywood, California after their sons are convicted of a notorious murder and open a dance school for children eager to tap their way to stardom."
6753,Lightning Jack,"Lightning Jack Kane is an Australian outlaw in the wild west. During a bungled bank robbery he picks up mute Ben Doyle as a hostage. The two become good friends, with Jack teaching Ben how to rob banks, while they plan Jack's last heist.::Rob Hartill"
6754,Until September,"A 'salt of the Earth' Missouri woman on vacation in Paris slowly gives in to the advances of a pushy--and very much married--French yuppie. Will their unconventional romance last until September, when she must return home?"
6755,Hanzo the Razor: Who's Got the Gold?,"After extracting information by raping a ghost, Hanzo uncovers a plot among high officials to steal the shogunate's gold and loan it out to the poor."
6756,Top Dog,"A mysterious disappearance makes two completely separate worlds collide, creating an extremely odd couple - the lawyer Emily and recently released convict Teddy."
6757,Death's Shadow,The Barnabys plan to renew their wedding vows for their 25th anniversary when Tom is distracted by a murder committed with an Indian sword in Badger's Drift.
6758,To Hell and Back,"The true WWII story of Audie Murphy, the most decorated soldier in U.S. history. Based on the autobiography of Audie Murphy who stars as himself in the film."
6759,"Elmo's World: Birthdays, Games & More!","Join Sesame Street's curious red monster as he explores birthdays, games, and pets! Elmo's World offers kids and adults a fresh and light-hearted take on the world around them."
6760,Judwaa,"Twin brothers who are separated soon after birth, meet in adulthood and join forces to defeat their common enemy, a notorious criminal."
6761,Earth vs. the Spider,When a young security guard (Devon Gummarsnall) witnesses his partner get killed he decides to inject himself with a serum hoping to become his favorite comic book hero. When he goes to sleep at night every time he gains a new ability or spider body part which has him in pain. He begins to realize that he may not be becoming what he thinks he is
6762,Alphaville,A U.S. secret agent is sent to the distant space city of Alphaville where he must find a missing person and free the city from its tyrannical ruler.
6763,Andy Warhol,"The first major profile of the American Pop Art cult leader after his death in 1987 covers the whole of his life and work through interviews, clips from his films, and conversations with his family and superstar friends. Andy Warhol, the son of poor Czech immigrants, grew up in the industrial slums of Pittsburgh while dreaming of Hollywood stars. He went on to become a star himself.::Fiona Kelleghan <fkelleghan@aol.com>"
6764,The Thomas Crown Affair,"A very rich and successful playboy amuses himself by stealing artwork, but may have met his match in a seductive detective."
6765,Iron Man 2,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy."
6766,American Experience,A series showcasing documentaries on American history.
6767,Hum Tum,A novel look at the eternal battle of the sexes and the trials and tribulations of Karan and Rhea and their attempts to understand each other.
6768,City of Joy,"An American doctor, a British nurse and an illiterate Indian farmer join together to transform a Calcutta ghetto in this uplifting, inspirational movie starring Patrick Swayze and Pauline Collins."
6769,Sunday Bloody Sunday,The emotional intricacies of a polyamorous relationship between young artist Bob and his two lovers: a lonely male doctor and a frustrated female office worker.
6770,The Sopranos: Season 6 Invitation to the Set,
6771,North to Alaska,"During the Alaska gold rush, prospector George sends partner Sam to Seattle to bring his fiancée but when it turns out that she married another man, Sam returns with a pretty substitute, the hostess of the Henhouse dance hall."
6772,A Brief Vacation,"Clara, diagnosed with tubercolosis, is treated in a sanatorium in the Alps, where she can finally take a break from her miserable life."
6773,Wild Orchid II: Two Shades of Blue,"In 1958 California, a teenage girl goes to work as a prostitute in a high-class brothel after the death of her father."
6774,The Big Doll House,"Beautiful women prisoners are abused in a Philippine prison, until five of them plot an escape by taking the evil female warden hostage with the reluctant help of two male fruit vendors."
6775,Felicity's First Season,
6776,I Accuse,A chilling tale based on a real event in which a doctor stepped out of line and sexually assaulted a patient when drugged.
6777,Three Women,"This is an intimate, moving, uplifting portrait of real women reclaiming their lives for themselves."
6778,The Wickeds,"Looking for a fun way to spend Halloween, seven teens travel to a decrepit house where they are besieged by a horde of the walking dead."
6779,Operation Condor: Armour of God 2 (1991),
6780,Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
6781,The Patriot,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
6782,Scareful What You Wish For,
6783,Baadasssss!,Mario Van Peebles' half-documentary/half-homage to his father Melvin Van Peebles' movie Sweet Sweetback's Baadasssss Song (1971).
6784,The Ugly,A female psychologist wants to understand the minds of a confessed serial killer who spent the last five years in a mental hospital because of his state.
6785,View from the Top,A small-town woman tries to achieve her goal of becoming a flight attendant.
6786,Little Einsteins: Our Big Huge Adventure,"The title group comprises Leo, Annie, Quincy, and June and their quest to get a lost caterpillar back home."
6787,Fingers,A dysfunctional young man is pulled between loyalties to his Italian mob-connected loan shark father and his mentally disturbed Jewish concert pianist mother.
6788,Flash: Season 2,
6789,Battle of Champions,
6790,Scooby-Doo Meets the Boo Brothers,"After the death of Shaggy's Uncle Beaureguard, he, Scooby, and Scrappy arrive at his uncle's plantation to collect the inheritance. But as soon as they arrive, they find it is haunted by the ghost of a Confederate soldier. With this spook on their tails while they search for Shaggy's inheritance, they hired to help of the Boo Brothers, a trio of ghost-exterminators to help catch this nasty ghoul.::Anonymous"
6791,Cirque du Soleil: La Nouba,Cirque du Soleil live performance at Disney World.
6792,Nostradamus: His Life and Prophecies,
6793,Rugrats Go Wild,"The Rugrats get tangled in an exotic adventure, where they're helped by the Thornberrys, a family that travels the world making nature documentaries."
6794,Children of the Corn III: Urban Harvest,"Two brothers connected to the murderous children's cult of Gatlin, Nebraska are taken to Chicago by an adoptive couple."
6795,Pari,"Arnab tries to help Ruksahana, who is found under mysterious circumstances in a house. He lets her stay at his home until he discovers something strange about her."
6796,Straight Talk,"A woman ditches her small town life for big city Chicago, where she becomes a sensation as a radio show host."
6797,An Occasional Hell,"A former policeman-turned college professor of forensics, is asked by a widow to solve the murder of her unfaithful husband and the disappearance of his mistress who may have been linked to some drug dealers."
6798,Fulltime Killer,Two very different hitmen find themselves to be in each other's way. They use all their skill to solve the problem.
6799,What the Deaf Man Heard,"Arriving in a new town, a child pretends to be deaf-mute to protect himself - a ruse which works so well that for twenty years he is custodian to all the town's secrets."
6800,The Hideous Sun Demon,"After exposure to radiation, an atomic research scientist finds himself changing into a murderous, lizard-like creature every time he is exposed to sunlight."
6801,Night at the Golden Eagle,An ex-convict's plans to turn legit go awry.
6802,Unlawful Entry,A burglar holds a knife to Karen's throat while her husband does nothing. The couple ends up befriending the cop that comes. The friendship ends when the cop beats up the culprit. Karen isn't ready to end it. Things get ugly with the cop.
6803,Barry Lyndon,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
6804,Different for Girls,Karl Foyle and Paul Prentice were best mates at school in the Seventies. But when they meet again in present-day London things are definitely not the same.
6805,Qayamat Se Qayamat Tak,"Despite knowing that their respective families are bitter enemies, Raj and Rashmi fall in love with each other and decide to elope."
6806,Mona Lisa and the Blood Moon,A girl with unusual powers escapes from a mental asylum and tries to make it on her own in New Orleans.
6807,The Story of Seabiscuit,"Horse trainer Shawn O'Hara and his lovely niece, Margaret, come to America to escape the memory of an accident involving Margaret's brother, Danny. Working with thoroughbreds in Kentucky, Shawn takes a liking to a yearling named Seabiscuit, and fights to convince the horse's owner that the tiny horse with big knees will become a top-notch racehorse. Meanwhile, Margaret begins a tentative relationship with jockey Ted Knowles, but is haunted by her brother's death in a steeplechase spill.::Ray Hamel"
6808,Commandos Strike at Dawn,"A gentle widower, enraged at Nazi atrocities against his peaceful Norwegian fishing village, escapes to Britain and returns leading a commando force against the oppressors."
6809,An Autumn's Tale,"Filmed in New York, story of naive young woman from Hong Kong who goes to New York to study. Street-wise cabbie cousin takes care of her in the big city::L.H. Wong <as9401k56@ntuvax.ntu.ac.sg>"
6810,Lone Star,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town."
6811,Get Over It,A high school senior's girlfriend breaks up with him. His friends try to make him think of something else. His friend's sister Kelly helps him with the school musical. Spending time with Kelly has an effect.
6812,The Bride,"After years of research, the doctor finally succeeds in creating the perfect woman, who gets the name ""Eva""."
6813,Frightmare,"After escaping a death sentence for her hideous crimes, a seemingly rehabilitated woman settles in an isolated farmhouse with her husband, only to ache, once more, for blood, and a crash-course in surgery. Is, indeed, her old self back?"
6814,The Century of Warfare,"Through the use of archived films and photos, major conflicts are chronicled from early WW1 (1914) through current day."
6815,Running Free,"The tale of the extraordinary life and times of Lucky, a horse that was born in captivity but achieves his dream of running free with the help of a stableboy."
6816,The Wright Stuff,"Topical discussions, a daily newspaper review and a weekly television review on Fridays."
6817,America's Heart & Soul,Filmmaker Louis Schwartzberg hits the road to capture America's people and its natural beauty.
6818,Turkish Delight,A young love faces with old problems.
6819,They Call Me Mister Tibbs!,"In San Francisco, a high-priced call girl is murdered and the case is assigned to Police Lieutenant Virgil Tibbs."
6820,Elvis: The Complete Story,
6821,The Purple Plain,"In WW2 Burma, a Canadian bomber pilot becomes reckless after losing his bride in a Luftwaffe air-raid."
6822,Deathstalker,"A lone warrior nicknamed Deathstalker is sent by a witch on a quest to find a sword, a chalice, and an amulet, two of which are held by the wicked king and sorcerer, Munkar."
6823,Bowfinger,"When a desperate movie producer fails to get a major star for his bargain basement film, he decides to shoot the film secretly around him."
6824,Monty Python and the Holy Grail,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
6825,In Like Flint,Super-spy Flint takes on a cabal of women plotting to rule the world.
6826,Otogi zôshi,"It is in the middle of the Heian era -- By famine and the epidemic, the capital was totally ruined. However, in spite of that situation, the samurai and the Yin Yang fortune-teller were continuing the ugly argument for the hegemony. The Emperor felt sorry for people in pain, and he ordered Minamoto No Raiko, who was an expert of a bow, to search the legendary comma-shaped bead of having the supernatural powers which bring about peace in a capital. However, Raiko was suffered from the epidemic, and became ill in bed. Therefore, the end daughter of Minamoto, Hikaru No Kimi, hid her true figure and made a trip to look for the bead instead of her elder brother. During her trip, she met various kinds of people, and she increased the comrades, including a faithful partner, Watanabe No Tsuna. Hikaru met the handsome actor, Mansairaku, and the mysterious Yin Yang fortune-teller, Abeno No Seimei, who maneuvered secretly in the black side of the government, and she was involved in various accidents. Though she felt for Mansairaku, she hid her feelings, and acted like a guy. Then she would gradually throw herself into the big battle for the capital.::masahiko (see animenfo.com)"
6827,Battle Creek Brawl,A young Asian-American martial artist is forced to participate in a brutal formal street-fighting competition.
6828,What a Girl Wants,"An American teenager learns that her father is a wealthy British politician running for office. Although she is eager to find him, she realizes it could cause a scandal and cost him the election."
6829,The Wiz,"An adaptation of ""The Wizard of Oz"" that tries to capture the essence of the African-American experience."
6830,A Dorothy L. Sayers Mystery: Have His Carcase 2,
6831,Lethal Weapon 4,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil."
6832,Building the Alaska Highway,"The creation of the 1,500-mile Alaska-Canada Highway."
6833,Cover Up,A fashion photographer and a veteran special forces soldier posing as her model go on intelligence missions around the world.
6834,Body Without Soul,"Documentary look at doomed male prostitutes in Prague, ages 15 to 18, who troll at the public swimming pool, the train station, a video arcade, and a disco. After the boys talk about how they got in the game, the camera follows them to the home of Pavel Rousek. Under the name Hans Miller, he makes gay porno videos, primarily for German distribution. Intercut with a movie shoot chez Rousek is an interview that follows him to his day job at a morgue, where he performs an autopsy as he talks about his work. The sex is without protection; the boys are without family. They talk about their bodies and souls, money, their sexual orientation, AIDS, their dreams, and death.::<jhailey@hotmail.com>"
6835,Motorama,"A ten year-old boy runs away from his abusive parents, steals a Mustang, and a pursues a promotional card game sold at gas stations."
6836,Brief Encounter,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
6837,Always Watching: A Marble Hornets Story,"A small town news team discovers a box of video tapes where a faceless figure dressed in a dark suit, haunts and torments a family... slowly driving them insane. Soon after, they realize that the ""Operator"" has begun to stalk them as well."
6838,A Murder of Quality,"At the request of his old war time colleague Ailsa Brimley, George Smiley agrees to look into the murder of Stella Rode. Brimley had only just received a letter from her saying she feared for her life at her husband's hand. The husband, Stanley Rode teaches at Carne School, but Smiley is doubtful that he had anything to do with his wife's death. As Smiley investigates, he learns that Stella was a nosy busybody who loved to learn others' little secrets and then gossip about them - or possibly blackmail them. When a student is killed and Smiley unearths a secret, he has the evidence to name the killer.::garykmcd"
6839,To the Extreme - IMDb,"Thomas is a bisexual man involved in several relationships. When suddenly one of his relationships, single mother Ann, dies, Thomas feels a responsibility towards her 13 year old son Gregoire. He tries to obtain custody."
6840,The Believer,A young Jewish man develops a fiercely anti-Semitic philosophy. Based on the factual story of a K.K.K. member in the 1960s who was revealed to be Jewish by a New York Times reporter.
6841,Home Fries,Pregnant Sally unknowingly falls for the stepson of the deceased father of her baby and has to deal with his homicidal family.
6842,Beast of yucca flats,Join Miss Misery for a late night movie and more.
6843,You Were Never Lovelier,"In Buenos Aires, a man who has decreed that his daughters must marry in order of age allows an American dancer to perform at his club under the condition that he play suitor to his second-oldest daughter."
6844,Born to Be Bad,A woman's attempt to appear innocent and sweet clashes with her lover who sees through her act and the wealthy man she tries to trick into marrying her.
6845,Raising Arizona,"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated."
6846,Get Bruce,"A richly funny behind-the-scenes look at the art of creating comedy. When celebrities need a hilarious punch line, they get Bruce Vilanch, the comic writer behind Hollywood's biggest events."
6847,The Velveteen Rabbit,A lonely boy wins over his distant father and strict grandmother with help from a brave velveteen rabbit whose one wish is to become a real rabbit someday.
6848,Intacto,"In a world where luck can be taken from a lucky person by a luckier person's touch, a small group of lucky people compete to be the luckiest and for the other contestants' luck."
6849,Sex and Lucía,"Various lives converge on an isolated island, all connected by an author whose novel has become inextricably entwined with his own life."
6850,The Skulls,"A senior at an ivy league college, who depends on scholarships and working on the side, gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a price."
6851,French Kiss,A woman flying to France to confront her straying fiance gets into trouble when the charming crook seated next to her uses her for smuggling.
6852,Wholly Moses!,An all-star comedy cast hams it up in this hilarious Biblical spoof.
6853,The Last Waltz,A film account and presentation of the final concert of The Band.
6854,Fist Power,A mainland security officer must race against the clock to retrieve the son of a man who's holding an entire school hostage.
6855,Dawn Anna,The true story of a single mom who overcomes many of life's obstacles.
6856,Visions of Greatness,
6857,The Dilemma,A man discovers that his best friend's wife is having an affair.
6858,Guilty Conscience,"While an unfaithful criminal lawyer considers killing his wife, his spouse develops some schemes of her own."
6859,Vincent & Theo,"The familiar tragic story of Vincent van Gogh is broadened by focusing as well on his brother Theodore, who helped support Vincent. The movie also provides a nice view of the locations which Vincent painted."
6860,Big Bird in China,"Big Bird and his companion, Barkley, travel across China in search of the legendary Feng Huang, the Phoenix Bird."
6861,Exorcist: The Beginning,"Years before Father Lankester Merrin helped save Regan MacNeil's soul, he first encounters the demon Pazuzu in East Africa. This is the tale of Father Merrin's initial battle with Pazuzu and the rediscovery of his faith."
6862,The Long Kiss Goodnight,"Samantha Caine lives in a small town with her daughter. Eight years ago she emerged, two months pregnant, from a nearby river with no memory of her past or who she is. However, she's getting closer to finding out about her past."
6863,Five Children and It,Five children staying in their eccentric uncle's labyrinthine mansion for protection during World War I befriend a sand fairy who has the power to grant wishes.
6864,Poison,"A boy shoots his father and flies out the window. A man falls in love with a fellow inmate in prison. A doctor accidentally ingests his experimental sex serum, wreaking havoc on the community."
6865,How to Make a Monster,"When a master monster make-up artist is sacked by the new bosses of American International studios, he uses his creations to exact revenge."
6866,The Last Castle,A court-martialed General rallies together twelve hundred inmates to rise against a corrupt and sadistic warden.
6867,The French Lieutenant's Woman,Anna and Mike portray two characters in a film set in 19th century England who fall in love despite the fact that Mike's character is engaged.
6868,Everything Put Together,The story of a Californian couple expecting a child and their group of friends confronted with the tragedy of a big loss.
6869,Spider-Man,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
6870,Billboard Dad,Twin girls advertise their single father on a Santa Monica Billboard.
6871,The Demented,"For one female entity time stands still, while for another time travels back and forth between the plains of the supernatural and the earthly horrors of exploitation and murder."
6872,Haunted Junction,"Three students, the son of a Catholic priest, the son of a Buddhist monk and the daughter of a Shinto priest are recruited into a haunted high school's ""Holy"" Student Council and given the task of handling the campus's out of control spirits.::Anonymous"
6873,The Best of Benny Hill,"A collection of sketches and musical numbers from his long running comedy/variety series, culled from shows produced and originally aired between 1969 and 1972; this film's production is more along the lines of Ten from Your Show of Shows (1973) than of And Now for Something Completely Different (1971).::W.B."
6874,The Goo,"The Goo' is a mini-series about 'Dave' and 'Jonesy', two 20 something best friends, trying to deal with life's problems whilst in the midst of a bender."
6875,The Crimson Pirate,"During the 1700s, pirate Captain Vallo seizes a British warship and gets involved in various money-making schemes involving Caribbean rebels led by El Libre, British envoy Baron Jose Gruda, and a beautiful courtesan named Consuelo."
6876,The Battle of Mary Kay,"The film is about two companies who are battling it out for customers, Mary Kay, and one of her workers Lexi Wilcox are fighting it out with Jinger Heath. Who will win? You will have to see."
6877,The Gambler,"Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation, is his relationship with one of his students. Will Bennett risk his life for a second chance?"
6878,Thanksgiving Family Reunion,All Mitch Snider wants for his family is a traditional holiday feast with the relatives. The problem is that he doesn't have any. That is until he gets an invitation in the mail from his long-lost cousin Woodrow. What follows is a full-course meal of nonstop laughs when the neurotic suburbanites clash with the hippy hicks from hell in National Lampoon's most outrageous family misadventure yet.::Barneyk
6879,Wind River,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
6880,Discovering Britain,Larry Lamb and Maureen Lipman present this new series exploring Britain's fascination with the past and meet the dedicated people who work to keep our nation's heritage alive.
6881,Shogun,An English navigator becomes both a player and pawn in the complex political games in feudal Japan.
6882,Occurrence at Owl Creek Bridge,"A Civil War civilian is to be executed by hanging, but when the plank is kicked away, instead of breaking his neck, he manages to miraculously escape unscathed or did he?::Jonah Falcon <jonahnynla@mindspring.com>"
6883,The Dream Is Alive,"Traveling on the Space Shuttle, covers training, launch, flight, deployment of LDEF from Challenger in April 1984 (STS-41C)."
6884,Dragon Ball Z: Battle of Gods,"The Z-Fighters must contend with Lord Beerus, the God of Destruction, but only a God can fight a God, and none of them are Gods. However with the creation of the Super Saiyan God, will the Z-Fighters be able to defeat Lord Beerus?"
6885,A Cry for Justice,A woman struggles with her faith when her son is falsely accused of murder and the odds are stacked against him.
6886,Black Widow,Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.
6887,Shadow of a Doubt,"A teenage girl, overjoyed when her favorite uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities."
6888,Beginning of the End,"Enterprising journalist Audrey Ames (Peggie Castle) is determined to get the scoop on enormous grasshoppers that were accidentally created at the Illinois State experimental farm, and she endeavors to save Chicago despite a military cover-up.::Anonymous"
6889,The Nomi Song,"Looks like an alien, sings like a diva - Klaus Nomi was one of the 1980s' most profoundly bizarre characters to emerge through rock music: a counter tenor who sang pop music like opera and brought opera to club audiences and made them like it. The Nomi Song is a film about fame, death, friendship, betrayal, opera, and the greatest New Wave rock star that never was!::Anonymous"
6890,Smiley's People,"The murder of a Soviet defector forces his old handler, British spymaster George Smiley, out of retirement. His investigation leads to an old nemesis, the Soviet spymaster known only as ""Karla"". This will be their final dance."
6891,Habitat,"In a future world where Earth's ozone layer has been completely destroyed, a brilliant but obsessed scientist, Hank Symes uses illegally obtained biological materials for an experiment that he hopes will save the world. In the course of his work, a terrible accident occurs, transforming him into a fantastic otherworldly lifeform and changing his house into a huge living entity which threatens all who enter.::Patrick D. Rockwell <prockwell@thegrid.net>"
6892,Live and Let Die,James Bond is sent to stop a diabolically brilliant heroin magnate armed with a complex organisation and a reliable psychic tarot card reader.
6893,Love Is Colder Than Death,"Unusual gangster story, in which a small-time pimp Franz, who is torn between his mistress and Bruno the gangster sent after him by the syndicate that he has refused to join. Things are turned on their head when Franz and Bruno become friends, to the point that they even share Franz's girlfriend Joanna. But Joanna soon becomes bored of Bruno.::L.H. Wong <as9401k56@ntuvax.ntu.ac.sg>"
6894,The Wool Cap,"The mute superintendent of a ramshackle apartment building, becomes the unwilling guardian of a little girl with an attitude."
6895,EX-Driver the Movie,"The squeal of smoking tires, the roar of the engine, and the thrill of a hairpin turn in a power drift. Most people in the future have no knowledge of these adrenaline-pumping aspects to driving because they only use cars driven by AI computers. However, sometimes the computers lose themselves and the cars race out of control! Fortunately, the éX-Drivers still love their gas-powered racing cars and are hired to shutdown rogue AI cars using their amazing driving skills."
6896,Murder by Numbers,"Two gifted high school students execute a ""perfect"" murder - then become engaged in an intellectual contest with a seasoned homicide detective."
6897,The Hallelujah Trail,"On its way to Denver, a cargo of whiskey destined for the miners, is sought after by the Temperance League, the U.S. Cavalry, the local Indians and the miners themselves."
6898,La Notte,A day in the life of an unfaithful married couple and their steadily deteriorating relationship.
6899,Century Hotel,"An omnibus of seven stories, all set in the room 720 of Century Hotel, that illustrate the tense and changing nature of relationships between men and women during each of the seven decades between the 1920s and the 1990s."
6900,The Simple Life of Noah Dearborn,A 91-year-old carpenter has to fight developers who are trying to force him to sell his land.
6901,The Staircase,"A man, grieving the death of his wife who fell down a staircase, is accused of murdering her."
6902,The Moody Blues and the Colorado Symphony Orchestra at Red Rocks Arena,
6903,Another Man's Poison,A mystery writer becomes involved in a tangled web of murderous deception not unlike the plots of her novels.
6904,Pit Fighter,"Jack Severino has no memory, all he knows is the brutal sport of Pit Fighting. When his past catches him up, he realizes he is not who he thought he was. For some men must fight for redemption."
6905,My Days of Mercy,The daughter of a man on death row falls in love with a woman on the opposing side of her family's political cause.
6906,Pokémon Heroes,Two thieves take control of an ancient weapon designed to defend the canal city of Altomare.
6907,Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
6908,Mrityudand: The Death Sentence,Three women are sentenced to Death as they dare to speak out and threaten to break the Status Quo of a male dominated society.
6909,The Professionals,"Bodie and Doyle, top agents for Britain's CI5 (Criminal Intelligence 5), and their controller, George Cowley fight terrorism and similar high-profile crimes. Cowley, a hard ex-MI5 operative, hand-picked each of his men. Bodie was a cynical ex-SAS paratrooper and mercenary whose nature ran to controlled violence, while his partner, Doyle, came to CI5 from the regular police force, and was more of an open minded liberal. Their relationship was often contentious, but they were the top men in their field, and the ones to whom Cowley always assigned to the toughest cases.::Marg Baskin <marg@asd.raytheon.ca>"
6910,What's Love Got to Do with It,"The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner."
6911,Harvard Man,A basketball player strikes a deal with the mob to fix a basketball game.
6912,Uncle Buck,Bachelor and all-round slob Buck babysits his brother's rebellious teenage daughter and her cute younger brother and sister.
6913,Poldark,"Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it."
6914,Super Bowl LIII Champions: New England Patriots,
6915,She Shoots Straight,Stright after her marriage Hong Kong officer Mina Kao faces dangerous case of vietnamese criminal refugees.
6916,I Spit on Your Grave,"A writer who is brutalized during her cabin retreat seeks revenge on her attackers, who left her for dead."
6917,"Stevie Ray Vaughan & Double Trouble: Live from Austin, Texas","SRV and Double Trouble shine in 1983 and 1989 performances from ""Austin City Limits."""
6918,The Icke Man Cometh (An interview with David Icke),
6919,Pokémon: Jirachi - Wish Maker,A magician attempts to use the power of the Millennium Comet to awaken the legendary Pokémon Groudon.
6920,In the Cut,"New York City writing professor, Frannie Avery, has an affair with a police detective who is investigating the murder of a beautiful young woman in her neighborhood."
6921,Gods of Olympia,
